IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.055,-0.074,-0.036,-0.055,-0.074,-0.036,0.038,-0.068,-0.092,-0.044,0.048,0.91,0.86,0.96,0.67,1.1e-05,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,12'000,9'200,15'000,12'000,9'200,15'000,5'600,0.17,0.13,0.21,0.079,47'000,39'000,54'000,0.82,4.5e-08,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,12'000,9'100,15'000,12'000,9'100,15'000,5'500,0.17,0.13,0.21,0.079,46'000,39'000,53'000,0.82,4.2e-08,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,300'000,170'000,430'000,300'000,170'000,430'000,260'000,0.14,0.077,0.2,0.12,1.6e+06,1.3e+06,1.9e+06,0.56,0.00014,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,290'000,160'000,430'000,290'000,160'000,430'000,270'000,0.13,0.073,0.19,0.12,1.6e+06,1.3e+06,2e+06,0.54,0.00021,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.081,-0.16,-0.0058,-0.081,-0.16,-0.0058,0.15,-0.064,-0.12,-0.0045,0.12,1.4,1.2,1.6,0.22,0.036,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.092,-0.17,-0.013,-0.092,-0.17,-0.013,0.16,-0.069,-0.13,-0.0097,0.12,1.5,1.3,1.7,0.25,0.025,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,8.6e-06,-0.00013,0.00015,8.6e-06,-0.00013,0.00015,0.00029,-0.073,1.1,-1.3,-2.4,-0.00013,-0.0005,0.00023,0.00088,0.9,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.034,-0.07,0.001,-0.034,-0.07,0.001,0.071,-0.092,-0.19,0.0027,0.19,0.45,0.35,0.54,0.19,0.056,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,360'000,350'000,380'000,360'000,350'000,380'000,30'000,0.21,0.2,0.22,0.018,980'000,950'000,1e+06,0.99,7e-21,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,360'000,350'000,380'000,360'000,350'000,380'000,30'000,0.22,0.21,0.22,0.018,950'000,910'000,990'000,0.99,8.8e-21,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,-320'000,-900'000,260'000,-320'000,-900'000,260'000,1.2e+06,-0.37,-1,0.3,1.3,1.5e+06,25'000,3e+06,0.069,0.26,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,-2.5e+06,-7.2e+06,2.2e+06,-2.5e+06,-7.2e+06,2.2e+06,9.5e+06,-0.82,-2.4,0.73,3.1,8e+06,-4e+06,2e+07,0.064,0.28,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,-1.4,-2.1,-0.69,-1.4,-2.1,-0.69,1.4,-0.17,-0.26,-0.085,0.17,11,9.1,13,0.49,0.00055,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-1.4,-2.1,-0.71,-1.4,-2.1,-0.71,1.4,-0.17,-0.26,-0.087,0.17,11,9.2,13,0.5,0.00053,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,-5.7e-08,-0.012,0.012,-5.7e-08,-0.012,0.012,0.024,-5.8e-07,-0.12,0.12,0.25,0.097,0.066,0.13,5.4e-12,1,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.022,-0.053,0.0087,-0.022,-0.053,0.0087,0.062,-0.034,-0.082,0.013,0.096,0.69,0.61,0.76,0.11,0.15,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,-inf,nan,nan,-inf,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,-inf,nan,nan,-inf,nan,nan,nan,nan,nan,nan,nan,inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,660'000,530'000,800'000,660'000,530'000,800'000,270'000,0.33,0.27,0.4,0.14,660'000,310'000,1e+06,0.86,5.5e-09,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,670'000,530'000,810'000,670'000,530'000,810'000,280'000,0.33,0.26,0.4,0.14,670'000,320'000,1e+06,0.85,8e-09,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,0.043,-0.033,0.12,0.043,-0.033,0.12,0.15,0.032,-0.025,0.09,0.12,1.2,1,1.4,0.072,0.25,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,0.048,-0.035,0.13,0.048,-0.035,0.13,0.17,0.036,-0.026,0.097,0.12,1.2,1,1.5,0.076,0.24,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,-0.00047,-0.0026,0.0016,-0.00047,-0.0026,0.0016,0.0042,-0.31,-1.7,1.1,2.7,0.0025,-0.0028,0.0078,0.012,0.64,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.038,-0.038,0.11,0.038,-0.038,0.11,0.15,0.14,-0.14,0.41,0.55,0.2,0.0077,0.4,0.057,0.31,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,450'000,430'000,480'000,450'000,430'000,480'000,43'000,0.3,0.28,0.31,0.028,620'000,560'000,670'000,0.99,6.2e-20,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,440'000,420'000,470'000,440'000,420'000,470'000,46'000,0.3,0.28,0.31,0.03,620'000,560'000,670'000,0.99,3.4e-19,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-63'000,-110'000,-18'000,-63'000,-110'000,-18'000,89'000,-0.12,-0.2,-0.034,0.17,660'000,550'000,780'000,nan,0.0083,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-69'000,-120'000,-21'000,-69'000,-120'000,-21'000,97'000,-0.13,-0.22,-0.038,0.18,680'000,560'000,810'000,nan,0.0077,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-1.9,-2.7,-1.1,-1.9,-2.7,-1.1,1.7,-0.24,-0.35,-0.14,0.22,12,9.4,14,nan,0.00017,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-2,-3,-1.1,-2,-3,-1.1,1.9,-0.25,-0.38,-0.13,0.24,12,9.6,14,nan,0.00033,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.057,-0.087,-0.027,-0.057,-0.087,-0.027,0.06,-0.07,-0.11,-0.033,0.075,0.92,0.84,1,nan,0.00091,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,10'000,7'000,13'000,10'000,7'000,13'000,6'400,0.15,0.1,0.19,0.092,50'000,41'000,58'000,nan,2.9e-06,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,10'000,7'000,13'000,10'000,7'000,13'000,5'900,0.14,0.1,0.19,0.086,49'000,42'000,57'000,nan,1.3e-06,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,260'000,30'000,500'000,260'000,30'000,500'000,470'000,0.12,0.014,0.23,0.22,1.6e+06,1e+06,2.2e+06,nan,0.029,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,260'000,7'700,520'000,260'000,7'700,520'000,510'000,0.12,0.0036,0.24,0.24,1.6e+06,1'000'000,2.3e+06,nan,0.044,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,-0.089,-0.23,0.051,-0.089,-0.23,0.051,0.28,-0.072,-0.19,0.041,0.23,1.4,1.1,1.8,nan,0.2,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,-0.096,-0.24,0.051,-0.096,-0.24,0.051,0.29,-0.075,-0.19,0.04,0.23,1.5,1.1,1.8,nan,0.19,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.042,-0.11,0.024,-0.042,-0.11,0.024,0.13,-0.11,-0.28,0.063,0.34,0.46,0.3,0.63,nan,0.2,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,360'000,330'000,380'000,360'000,330'000,380'000,47'000,0.21,0.2,0.22,0.027,990'000,930'000,1.1e+06,nan,2.7e-17,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,350'000,330'000,370'000,350'000,330'000,370'000,50'000,0.21,0.19,0.22,0.03,970'000,910'000,1e+06,nan,1e-16,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,-43'000,-110'000,21'000,-43'000,-110'000,21'000,130'000,-0.095,-0.24,0.046,0.28,540'000,380'000,710'000,nan,0.17,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,-44'000,-110'000,20'000,-44'000,-110'000,20'000,130'000,-0.096,-0.24,0.044,0.28,550'000,380'000,710'000,nan,0.17,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,-1.1,-1.7,-0.36,-1.1,-1.7,-0.36,1.4,-0.16,-0.26,-0.054,0.21,8.8,7.1,11,nan,0.005,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,-1.1,-1.7,-0.43,-1.1,-1.7,-0.43,1.3,-0.16,-0.25,-0.063,0.19,8.9,7.3,11,nan,0.0025,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.026,-0.023,0.074,0.026,-0.023,0.074,0.097,0.47,-0.41,1.4,1.8,-0.0016,-0.13,0.12,nan,0.28,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,1,-0.033,-0.062,-0.0034,-0.033,-0.062,-0.0034,0.058,-0.049,-0.093,-0.0052,0.088,0.73,0.65,0.8,nan,0.031,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,1,4'900,-3'300,13'000,4'900,-3'300,13'000,16'000,0.074,-0.051,0.2,0.25,56'000,35'000,77'000,nan,0.23,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,1,4'700,-3'000,12'000,4'700,-3'000,12'000,15'000,0.072,-0.047,0.19,0.24,56'000,36'000,75'000,nan,0.22,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,2048,690'000,290'000,1.1e+06,690'000,290'000,1.1e+06,800'000,0.38,0.16,0.6,0.44,440'000,-590'000,1.5e+06,nan,0.002,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,2048,710'000,300'000,1.1e+06,710'000,300'000,1.1e+06,800'000,0.38,0.16,0.6,0.43,430'000,-590'000,1.5e+06,nan,0.0017,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,-0.0057,-0.15,0.14,-0.0057,-0.15,0.14,0.3,-0.0043,-0.12,0.11,0.22,1.3,0.95,1.7,nan,0.94,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.0014,-0.17,0.17,-0.0014,-0.17,0.17,0.33,-0.001,-0.12,0.12,0.25,1.4,0.93,1.8,nan,0.99,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.03,-0.14,0.2,0.03,-0.14,0.2,0.33,0.091,-0.41,0.6,1,0.26,-0.17,0.68,nan,0.71,False,0,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,370'000,320'000,410'000,370'000,320'000,410'000,98'000,0.23,0.2,0.26,0.063,840'000,720'000,970'000,nan,6.8e-12,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,370'000,320'000,420'000,370'000,320'000,420'000,99'000,0.24,0.21,0.27,0.064,800'000,670'000,930'000,nan,6.6e-12,True,+,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,26'000,-990,52'000,26'000,-990,52'000,53'000,0.046,-0.0018,0.093,0.095,420'000,330'000,520'000,0.19,0.058,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,26'000,-1'500,53'000,26'000,-1'500,53'000,54'000,0.045,-0.0026,0.093,0.096,420'000,330'000,520'000,0.18,0.062,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-0.09,-0.53,0.35,-0.09,-0.53,0.35,0.88,-0.011,-0.065,0.043,0.11,6.5,4.9,8,0.01,0.67,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-0.099,-0.56,0.36,-0.099,-0.56,0.36,0.91,-0.012,-0.067,0.043,0.11,6.6,5,8.2,0.011,0.65,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,1,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,1,-0.017,-0.033,-0.0002,-0.017,-0.033,-0.0002,0.033,-0.021,-0.041,-0.00025,0.041,0.8,0.74,0.86,0.2,0.048,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,1,5'600,3'700,7'500,5'600,3'700,7'500,3'900,0.08,0.052,0.11,0.055,66'000,59'000,72'000,0.68,8.8e-06,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,1,5'600,3'700,7'500,5'600,3'700,7'500,3'800,0.081,0.053,0.11,0.054,65'000,58'000,71'000,0.68,7.1e-06,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,2048,1.1e+07,6.5e+06,1.5e+07,1.1e+07,6.5e+06,1.5e+07,8.3e+06,4.9,3,6.8,3.8,-2.9e+07,-4.4e+07,-1.5e+07,0.62,3.9e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,2048,1.1e+07,6.5e+06,1.5e+07,1.1e+07,6.5e+06,1.5e+07,8.3e+06,4.8,2.9,6.7,3.8,-2.9e+07,-4.4e+07,-1.5e+07,0.62,4e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,2048,5.7,3.5,8,5.7,3.5,8,4.5,4.5,2.8,6.2,3.5,-16,-24,-8.2,0.62,3.8e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,2048,5.8,3.6,8,5.8,3.6,8,4.5,4.4,2.7,6.1,3.4,-16,-24,-8.2,0.62,3.8e-05,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,1,2048,0.0029,0.0026,0.0032,0.0029,0.0026,0.0032,0.00061,-25,-23,-28,-5.2,-0.0089,-0.01,-0.0079,0.96,6.7e-14,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,1,2048,-0.025,-0.052,0.003,-0.025,-0.052,0.003,0.055,-0.065,-0.14,0.008,0.15,0.42,0.32,0.51,0.16,0.078,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,1,2048,-72'000,-83'000,-61'000,-72'000,-83'000,-61'000,22'000,-0.042,-0.049,-0.036,0.013,2.3e+06,2.3e+06,2.3e+06,0.91,5.8e-11,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,1,2048,-69'000,-79'000,-59'000,-69'000,-79'000,-59'000,20'000,-0.041,-0.047,-0.035,0.012,2.2e+06,2.2e+06,2.3e+06,0.92,2.2e-11,True,-,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,4,1,93'000,-44'000,230'000,93'000,-44'000,230'000,270'000,0.11,-0.051,0.27,0.32,270'000,-220'000,750'000,0.1,0.17,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,4,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,1,0.1,-0.39,0.6,0.1,-0.39,0.6,0.99,0.013,-0.049,0.074,0.12,6.4,4.6,8.2,0.01,0.67,False,0,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,1,inf,nan,nan,inf,nan,nan,nan,inf,nan,nan,nan,-inf,nan,nan,nan,nan,NaN,NaN,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,1,0.029,0.025,0.033,0.029,0.025,0.033,0.0083,0.3,0.26,0.34,0.086,0.0093,-0.0054,0.024,0.92,1.7e-11,True,+,20,lambda row: row['Num Processes'] in [64]+[256],64_256,64/256,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
